"test","statistic","df1","df2","p_value","sig"
"class (pooled)",39.0916385827794,1,28,9.30643242341716e-07,"*"
"class * sex",12.4038015509208,3,26,3.17225484038234e-05,"*"
"class (female only)",14.3746218745182,1,12,0.00256975845921309,"*"
"class (male only)",21.4102567270414,1,14,0.000391733615953488,"*"
"arcade (pooled)",1.93583460984592,1,28,0.175078471727554,""
"arcade * sex",0.578347205041506,3,26,0.634441878499145,""
"arcade (female only)",1.32190285469668,1,12,0.272649693132822,""
"arcade (male only)",0.580272149188322,1,14,0.458846788197445,""
"dimension (pooled)",14.3828156384315,1,28,0.000730958295784789,"*"
"dimension * sex",4.80769721201755,3,26,0.00855177912950385,"*"
"dimension (female only)",7.17327477151753,1,12,0.0201001186577745,"*"
"dimension (male only)",7.26866273577921,1,14,0.017390782190937,"*"
